raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/train/entropy_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/std,raw/gen/train/learning_rate,raw/gen/train/loss,raw/gen/train/value_loss,raw/gen/train/clip_range,raw/gen/train/approx_kl,raw/gen/train/explained_variance,raw/gen/train/n_updates
-99.88673612999999,1,490,4,1000.0,106496,-7.405518397688866,238.92892033547707,0.22470703125,-0.03462548261450138,0.8297690153121948,0.0003,0.2365814745426178,0.8034768908284604,0.2,0.019155476,0.9707828499376774,510
-95.01747735,1,429,4,1000.0,108544,-7.38053779900074,224.96062454897648,0.227490234375,-0.030323216842953117,0.8298555612564087,0.0003,0.24095910787582397,0.34451500298455356,0.2,0.019862618,0.9681834578514099,520
-87.02074938,1,420,4,1000.0,110592,-7.366658726334572,211.80185737296546,0.1732421875,-0.023985039215767757,0.8272686004638672,0.0003,0.0622430182993412,0.46372781809186564,0.2,0.015754715,0.9711137469857931,530
-79.22998439,1,412,4,1000.0,112640,-7.339884616434574,200.29648468199767,0.2298828125,-0.034567282602074555,0.8225909471511841,0.0003,0.27913981676101685,0.49662596769630907,0.2,0.020683642,0.9809848442673683,540
-66.73551094999999,1,412,4,1000.0,114688,-7.287433740496636,188.80792968213515,0.23212890625,-0.03194174730451778,0.8145686984062195,0.0003,0.009326338768005371,0.2892428042483516,0.2,0.021189775,0.9776491150259972,550
-57.57738956,1,420,4,1000.0,116736,-7.251123909652233,178.5430776518907,0.209130859375,-0.028740476397797466,0.8111470937728882,0.0003,0.09516935795545578,0.7895812312141061,0.2,0.017691176,0.9590347446501255,560
-50.386787459999994,1,440,4,1000.0,118784,-7.23505071401596,169.44175891647427,0.193017578125,-0.03272792178322561,0.8091673851013184,0.0003,0.4342138469219208,0.8389474025927484,0.2,0.017423838,0.9796265307813883,570
-41.051598289999994,1,439,4,1000.0,120832,-7.203807701170445,160.58207535110716,0.197412109375,-0.03529599768226035,0.8029168844223022,0.0003,0.16349732875823975,0.49075511572882535,0.2,0.01847642,0.9830569960176945,580
-31.30156537,1,443,4,1000.0,122880,-7.171310889720917,152.20179638400694,0.218603515625,-0.03686744106526021,0.8009440302848816,0.0003,0.10592377185821533,0.4230827551335096,0.2,0.020753983,0.9684136733412743,590
-26.37077001,1,425,4,1000.0,124928,-7.140312135219574,144.59850238883058,0.216796875,-0.03257239436497912,0.7964516878128052,0.0003,0.04507932811975479,0.23587536732666195,0.2,0.020936793,0.9739990010857582,600
-13.899955969999999,1,440,4,1000.0,126976,-7.092312316596508,137.4691354029528,0.24853515625,-0.02972449731605593,0.7890352606773376,0.0003,0.040601544082164764,0.23260886617936194,0.2,0.024363061,0.9660651125013828,610
12.287069760000001,1,429,4,1000.0,129024,-7.065447084605694,132.09894974754855,0.181494140625,-0.03411037181504071,0.7876935005187988,0.0003,0.11687935143709183,0.6560656572692096,0.2,0.01537534,0.9498528726398945,620
24.41923771,1,415,4,1000.0,131072,-7.0396758079528805,125.79197472892616,0.156884765625,-0.031201334585784935,0.7824265360832214,0.0003,0.4366627037525177,1.1961393078789115,0.2,0.015124784,0.9473056793212891,630
37.519748220000004,1,412,4,1000.0,133120,-6.98422723710537,122.69378334022961,0.2380859375,-0.040057044658169616,0.7752009630203247,0.0003,0.269461065530777,0.6298891745507718,0.2,0.022369139,0.9760216735303402,640
45.138877490000006,1,421,4,1000.0,135168,-6.942878088355064,119.18061378982826,0.19658203125,-0.03159665839921218,0.7707033157348633,0.0003,0.1920081526041031,0.7136399179697037,0.2,0.016829109,0.9586525745689869,650
48.68456517000001,1,436,4,1000.0,137216,-6.938459694385529,114.5269300060145,0.24384765625,-0.031584421478328295,0.7722918391227722,0.0003,0.03078465536236763,0.17904745669220573,0.2,0.02263635,0.9700463134795427,660
62.39139901000001,1,430,4,1000.0,139264,-6.920216603577137,110.93049700244197,0.1943359375,-0.0212164364696946,0.7678779363632202,0.0003,0.17385795712471008,0.688333576999139,0.2,0.018426929,0.9373066425323486,670
82.06215507,1,442,4,1000.0,141312,-6.870180194079876,107.68405748955558,0.24677734375,-0.03167960571008734,0.7600455284118652,0.0003,0.07633654773235321,0.2942717295722105,0.2,0.022927493,0.9812880903482437,680
93.30064631,1,440,4,1000.0,143360,-6.831415665149689,104.64688657443449,0.21123046875,-0.025704011495690793,0.756567656993866,0.0003,0.12595340609550476,0.6921120611950755,0.2,0.020262117,0.9440704174339771,690
102.20380536,1,440,4,1000.0,145408,-6.810640609264373,99.2631760347216,0.206884765625,-0.022020760510349645,0.7557408213615417,0.0003,-0.00805574283003807,0.17036786041862798,0.2,0.018662827,0.9049095958471298,700
112.42377665999999,1,425,4,1000.0,147456,-6.81265818476677,94.02873162857776,0.19423828125,-0.014257453587197233,0.7548980712890625,0.0003,0.08908751606941223,0.3700713090074714,0.2,0.016505433,0.8487099260091782,710
118.99876318000001,1,412,4,1000.0,149504,-6.794499529898166,89.74884756678732,0.232763671875,-0.016427982405002695,0.7511225938796997,0.0003,-0.04074503108859062,0.07870571803941857,0.2,0.021465741,0.9655389115214348,720
130.85600775,1,407,5,1000.0,151552,-6.755371730029583,84.73251621990833,0.183447265625,-0.02542718146578409,0.744773268699646,0.0003,0.16922438144683838,0.43261337773874403,0.2,0.018838856,0.9594238214194775,730
143.58374396000002,1,419,4,1000.0,153600,-6.696460020542145,81.40486110492492,0.174267578125,-0.02859976856561843,0.7374860644340515,0.0003,0.06880809366703033,0.5783135983394458,0.2,0.01542327,0.9600852727890015,740
157.17624594,1,428,4,1000.0,155648,-6.6559382528066635,78.17682085262373,0.182958984375,-0.030552070256089792,0.7337436676025391,0.0003,0.17980879545211792,0.7811999914236367,0.2,0.015626248,0.9685032330453396,750
